gene_id,gene_name
ENSG00000000003,TSPAN6
ENSG00000001497,LAS1L
ENSG00000001617,SEMA3F
ENSG00000002549,LAP3
ENSG00000003400,CASP10
ENSG00000005022,SLC25A5
ENSG00000005448,WDR54
ENSG00000005469,CROT
ENSG00000006015,REX1BD
ENSG00000006555,TTC22
ENSG00000006625,GGCT
ENSG00000007080,CCDC124
ENSG00000007237,GAS7
ENSG00000007520,TSR3
ENSG00000008282,SYPL1
ENSG00000008283,CYB561
ENSG00000008382,MPND
ENSG00000008394,MGST1
ENSG00000008441,NFIX
ENSG00000010256,UQCRC1
ENSG00000010361,FUZ
ENSG00000010438,PRSS3
ENSG00000010626,LRRC23
ENSG00000010704,HFE
ENSG00000011105,TSPAN9
ENSG00000011143,MKS1
ENSG00000011426,ANLN
ENSG00000012211,PRICKLE3
ENSG00000013016,EHD3
ENSG00000013503,POLR3B
ENSG00000013583,HEBP1
ENSG00000014138,POLA2
ENSG00000014641,MDH1
ENSG00000016082,ISL1
ENSG00000016402,IL20RA
ENSG00000016602,CLCA4
ENSG00000017797,RALBP1
ENSG00000018236,CNTN1
ENSG00000019186,CYP24A1
ENSG00000021826,CPS1
ENSG00000022556,NLRP2
ENSG00000023191,RNH1
ENSG00000023697,DERA
ENSG00000024526,DEPDC1
ENSG00000026297,RNASET2
ENSG00000026508,CD44
ENSG00000027001,MIPEP
ENSG00000027697,IFNGR1
ENSG00000030419,IKZF2
ENSG00000030582,GRN
ENSG00000033011,ALG1
ENSG00000033050,ABCF2
ENSG00000034510,TMSB10
ENSG00000034693,PEX3
ENSG00000035687,ADSS
ENSG00000035862,TIMP2
ENSG00000037757,MRI1
ENSG00000038002,AGA
ENSG00000039068,CDH1
ENSG00000041353,RAB27B
ENSG00000042493,CAPG
ENSG00000042753,AP2S1
ENSG00000048471,SNX29
ENSG00000049130,KITLG
ENSG00000049245,VAMP3
ENSG00000049283,EPN3
ENSG00000049541,RFC2
ENSG00000050165,DKK3
ENSG00000050344,NFE2L3
ENSG00000050405,LIMA1
ENSG00000051596,THOC3
ENSG00000052795,FNIP2
ENSG00000053254,FOXN3
ENSG00000053371,AKR7A2
ENSG00000054148,PHPT1
ENSG00000054277,OPN3
ENSG00000055950,MRPL43
ENSG00000056050,HPF1
ENSG00000056972,TRAF3IP2
