"","GSM6765254","GSM6765268","GSM6765281","GSM6765294","GSM6765307","GSM6765321","GSM6765335","GSM6765349","GSM6765363","GSM6765379","GSM6765393","GSM6765408"
"ENSG00000086061",8.57751062863674,8.54354417481705,8.54531259646768,12.013355351273,12.0458371664356,11.9613307884237,11.0515175074541,10.9385300276954,10.9036060849,11.7815080039553,11.7777690210894,11.8849859508291
"ENSG00000087074",7.35419717720558,7.44990877452626,7.47207264136794,11.7494332427972,11.8183961919783,11.7820104817236,10.092491273968,10.1707773262224,10.1273462905837,11.4093371212151,11.5393976749949,11.6612559505133
"ENSG00000108654",8.89315847115828,8.93279618799394,8.88142672359906,11.4924563082138,11.5402844660973,11.4553812612805,10.6263565398128,10.518065831592,10.5909129716357,11.8076305361876,11.7430227022203,11.8818001674942
"ENSG00000109971",10.8549463268476,10.7830969025421,10.8104301826966,13.7203543218708,13.7645509379561,13.7000306268865,13.247440658801,13.1432033342417,13.1720569771377,13.2925100737843,13.315231431938,13.4285649940749
"ENSG00000120694",7.21897929900778,7.1723457146162,7.12586217812531,11.9781992932501,11.9976986180059,11.9480839454835,9.75503096826857,9.65919154368459,9.74147747102777,11.3382966066988,11.2231312797264,11.4239872155345
"ENSG00000120738",6.06034039051737,6.04425570936719,5.99677336525488,13.6550710976848,13.6134041418733,13.6615678430969,11.2390845859465,11.3242121486861,11.292054613077,13.3084242527377,13.3856290091924,13.5588203501542
"ENSG00000130066",9.91454546309681,9.93722186881537,9.87897018790529,12.0187478867781,12.099679098622,12.0162149544621,11.4985485243604,11.4261050239216,11.4889087070644,12.1698390353053,12.1554394095605,12.0886850134642
"ENSG00000132002",8.63174314089527,8.54791822428226,8.57089121857223,12.998907775804,13.0442344160401,13.0503302638155,11.87664552869,11.8686611930586,11.8959756889871,12.1007591500505,12.1626877810952,12.2952586119312
"ENSG00000140403",5.63813286638361,5.61326241077428,5.55764453354974,11.9642927420728,11.9378094659892,11.9460661948383,9.15893419275207,9.06704598541761,9.07276276176983,11.3002522441634,11.3093766166461,11.4516452992309
"ENSG00000143384",8.83389101441993,8.86430209314903,8.83643957680115,11.4785466867046,11.5535591503586,11.5006261510494,9.69929967270557,9.64188451617774,9.69305003249044,11.6952987914404,11.636777717856,11.772946591625
"ENSG00000163191",13.3411778030293,13.318386478701,13.2988377471673,10.7220678343962,10.714213569181,10.7287831675998,10.7235282109088,10.7562991723954,10.7507424814048,10.8373019395455,11.0406097658874,10.8026595263502
"ENSG00000167768",11.9186635692775,11.8862799402379,11.9087912810612,8.29221097559144,8.24504050366322,8.07692793934356,5.85847591954468,6.28374832364051,6.25945028601976,8.06851483903324,8.127741248775,7.88577555997091
"ENSG00000170345",5.46434525934899,5.04432184435892,5.29514910870686,11.709499393193,11.6925263138515,11.7360390519485,8.62664800317286,8.69599025180587,8.66576153596624,12.0849106075712,12.1254018262923,12.1839120233891
"ENSG00000177606",8.27076551256407,8.25338110213236,8.33250794473525,11.7828686081425,11.795337586335,11.8573789364255,8.95122163900496,9.05703644999891,9.03030618123819,11.4883666010306,11.4977982004289,11.6589315220158
"ENSG00000186081",14.334558345241,14.3413737080165,14.3051643356114,10.9886401423361,11.0106638287563,10.9900161738637,9.36509911699406,9.47449812002163,9.38664086219502,11.7902681749634,11.9183191467565,11.7703648435107
"ENSG00000186847",14.9011580813184,14.8812732906093,14.8983456814495,10.640466348952,10.7367338616487,10.7032062096722,8.67210188943273,8.8979089117719,8.7969762348066,11.6078625487813,11.7069681894205,11.5371530817389
"ENSG00000198435",5.90602844094538,5.94137818035006,5.80840491360569,11.1482782360899,11.1859246394476,11.1867190709228,8.33901896629886,8.24889600230008,8.31455786678375,10.9247669530791,10.8382053741868,10.9582102212943
"ENSG00000204388",6.91678082160097,6.89849856075682,6.91557902328117,12.4055898242747,12.4284306551908,12.4819438293455,10.7474564746284,10.8404032620313,10.8365498965924,11.2320795089577,11.2262794521069,11.4655440347322
"ENSG00000204389",8.06176560739348,7.9102910139264,8.04068407238682,13.5618421800371,13.6010548717435,13.6361370742353,12.1527924739168,12.2619181512465,12.2562806263003,12.3240155806664,12.248490471341,12.416346781289
"ENSG00000205420",14.998082310612,14.9686393631327,14.9837381803564,11.216238882761,11.2790117849586,11.1901329178018,9.60732208512851,9.6867177385505,9.62130945161787,12.1154399368057,12.2422837550686,11.8511791074343
