"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",57.4337107902945,-0.0450811983362419,0.208791788199234,-0.215914613908208,0.82905430552148,1
"ENSG00000000419",73.8605051321359,0.089092661340539,0.196577562330359,0.453218873427753,0.650391143411893,1
"ENSG00000000457",5.23145237260757,-0.086524098798288,0.678202941829356,-0.127578477564402,0.898482564344148,1
"ENSG00000000460",4.08059815437438,0.246616408363426,0.773606759662189,0.31878781471754,0.749887419024467,1
"ENSG00000000971",0.41509930154878,0.00582691021497335,2.80300357281984,0.0020788094141141,0.998341351258254,1
"ENSG00000001036",316.566946506134,-0.0171572022304909,0.0902005451259068,-0.190211735489425,0.849143215410897,1
"ENSG00000001084",24.8837963027281,-0.0327013568234972,0.315928769613334,-0.103508638556471,0.91755929374637,1
"ENSG00000001167",36.073675747534,0.117960184111377,0.268074803955097,0.440027120680596,0.659917464749431,1
"ENSG00000001460",3.9093732354491,0.00539034925850027,0.775470746031107,0.0069510671886571,0.994453895471268,1
"ENSG00000001461",26.9341203753058,-0.244400165377676,0.294723693476083,-0.829251840919636,0.406961915867143,1
"ENSG00000001497",14.1547926808857,0.112992948927095,0.421717854081791,0.267934942363574,0.788749396591463,1
"ENSG00000001561",17.2702927035961,-0.0466970014051113,0.377676939566811,-0.123642712892855,0.901598171945913,1
"ENSG00000001617",3.16217279671845,0.00683271579294039,0.850254920298272,0.0080360790979527,0.993588205569177,1
"ENSG00000001626",54.6551697258897,-0.0788022914453317,0.210844877184272,-0.373745345382335,0.708593785374872,1
"ENSG00000001629",30.1901033235667,-0.0902887691464659,0.28953033981001,-0.311845622830801,0.755157849697402,1
"ENSG00000001630",406.072249974012,-0.0452690649890814,0.0908119410795636,-0.498492427878175,0.618137004975979,1
"ENSG00000001631",13.6672135217131,0.0442931158291356,0.429408485652103,0.103149139593438,0.917844605229024,1
"ENSG00000002016",9.06210878864209,0.177197842029085,0.533764397084404,0.331977634696128,0.739906147139698,1
"ENSG00000002330",55.434922003501,-0.0216032221477556,0.223833071839095,-0.0965148803537189,0.923111656284052,1
"ENSG00000002549",45.8297282378991,-0.0967146790674577,0.229887584726015,-0.420704228907031,0.673971072748135,1
"ENSG00000002586",409.475402352691,-0.00221232762090801,0.0793725959621656,-0.0278726882255754,0.977763691616235,1
"ENSG00000002726",2.74932298625239,0.518596967470968,0.931894745743458,0.556497361788681,0.577870897463055,1
"ENSG00000002745",0.412237771351504,0.967603035231008,2.7759491088682,0.34856656130325,0.727414735251385,1
"ENSG00000002746",0.741953130638671,-0.580975005263551,1.78149854324042,-0.326115902518112,0.744336665710883,1
"ENSG00000002822",10.1544506967998,-0.0849202712746592,0.481639223308825,-0.176315107169352,0.860046394149625,1
"ENSG00000002834",258.351775445369,-0.00701686645657011,0.098370421093883,-0.0713310604808059,0.943134275494141,1
"ENSG00000002919",13.3930668441558,0.00525988068739155,0.432024674954907,0.0121749543308853,0.990286031894293,1
"ENSG00000002933",12.8540652490139,0.283359920777814,0.441563391747282,0.641719685267722,0.521055205377265,1
"ENSG00000003056",67.057076481986,-0.0488462723269935,0.19207133275679,-0.254313184721038,0.799253614645813,1
"ENSG00000003096",8.5004650037811,-0.163139438678838,0.531104167776921,-0.30717032284213,0.758713733215204,1
"ENSG00000003137",6.47295239392098,-0.0639908445671585,0.608683885406614,-0.10512984835209,0.91627277497366,1
"ENSG00000003147",19.0659814759995,0.0816791160172783,0.356414445580615,0.229168926877303,0.818737622695361,1
"ENSG00000003249",16.3960968898735,-0.137911745126771,0.384955559983783,-0.35825367772992,0.720153480325919,1
"ENSG00000003393",25.7177483974241,-0.0123367292029941,0.306792139687698,-0.0402120120011952,0.967924101184619,1
"ENSG00000003400",7.06751104245082,-0.124531745511977,0.576796805047478,-0.215902280356298,0.829063919554124,1
"ENSG00000003402",28.8520075873619,-0.026152967367324,0.288558416662829,-0.0906331815574205,0.927784065356599,1
"ENSG00000003436",67.8749496036059,0.0454876911771958,0.196555013398117,0.231424731380734,0.816984853726445,1
"ENSG00000003509",14.6238389475974,0.10654753396007,0.408844635197225,0.260606413261781,0.794396043479171,1
"ENSG00000003756",41.0056831446988,0.0810469476003583,0.24696748245987,0.328168497298132,0.742784265556075,1
"ENSG00000003987",0.915453472504789,0.595791716588959,1.6562191968313,0.359729990890599,0.719049061914559,1
"ENSG00000003989",55.3007217348687,0.0939050584923881,0.216985431969642,0.432771258604707,0.665180955510707,1
"ENSG00000004059",123.139149671667,-0.0484286826667582,0.147691050816225,-0.327905329396153,0.742983244055454,1
"ENSG00000004139",9.06020563485239,-0.0457636103546895,0.510021205932712,-0.0897288383744719,0.9285026986624,1
"ENSG00000004142",188.216422346785,-0.0556405540836048,0.117493702373296,-0.473562011918104,0.635812270271082,1
"ENSG00000004399",17.1271810769196,-0.0218152787536737,0.372471859727896,-0.0585689312733867,0.953295457438291,1
"ENSG00000004455",41.4058737116963,-0.109042973562237,0.241939219575016,-0.450703998110677,0.652202900415316,1
"ENSG00000004468",0.571403634587365,1.48672668323385,2.09568295086666,0.70942347582635,0.478061723840229,1
"ENSG00000004478",74.4355292483442,0.189974235911948,0.187870999488447,1.01119510956575,0.31192305599209,1
"ENSG00000004487",48.3775906752874,-0.0533690130478479,0.225247098040828,-0.236935407878926,0.812706900440517,1
"ENSG00000004534",44.999044250936,0.0068884702761886,0.242953834403048,0.0283530008617232,0.977380608994322,1
"ENSG00000004660",0.578606646572886,-0.89736632761116,2.19073436373595,-0.409618958129111,0.682085487714923,1
"ENSG00000004700",33.7749099181793,0.216188337981407,0.280957164058383,0.769470814905018,0.441613863680764,1
"ENSG00000004766",5.90082352160216,-0.0701802654329236,0.630382463422024,-0.111329660174794,0.911354936176602,1
"ENSG00000004776",1.40774822135213,-0.258901566440834,1.24034119248403,-0.208734151546102,0.834655778253269,1
"ENSG00000004777",4.18310964436622,0.382650372406319,0.786575843930122,0.486476129872496,0.626629625419033,1
"ENSG00000004779",111.12411449107,-0.0552930118615947,0.155823617283804,-0.354843590627785,0.722706769995553,1
"ENSG00000004799",2.15141309688772,0.199679632034358,1.01131208251002,0.197446105398805,0.843478452792151,1
"ENSG00000004838",1.58687601216368,1.80963584017154,1.41405893784479,1.27974569640617,0.200634587732781,1
"ENSG00000004864",51.6294756956314,0.00646021173343072,0.217191479604838,0.0297443147640254,0.976270969471204,1
"ENSG00000004866",10.9117548158363,-0.0827124699567536,0.475048167183133,-0.17411385975281,0.861775981062386,1
"ENSG00000004897",25.708514345068,-0.0503458053410619,0.311710540651174,-0.161514606583043,0.871688108002508,1
"ENSG00000004948",1.3323891833968,-0.412412762863501,1.40987881847777,-0.292516461314582,0.769891775691408,1
"ENSG00000004961",50.6131547157868,-0.0322430955714058,0.225102182229947,-0.143237596597214,0.886102538156568,1
"ENSG00000004975",39.3701281730577,0.0402047566408004,0.248313199587926,0.161911475940545,0.871375565571453,1
"ENSG00000005001",26.2170897829317,-0.0736984615923731,0.319369424145884,-0.230762421260179,0.817499376807725,1
"ENSG00000005007",52.939848283234,-0.00353592327102146,0.213827180467505,-0.0165363601731577,0.986806494825356,1
"ENSG00000005020",7.80026349692382,-0.1130707635575,0.558894759085098,-0.202311368499135,0.839673312960289,1
"ENSG00000005022",649.93171493595,-0.109389509469307,0.0656658506275664,-1.66585079495469,0.0957431361057414,1
"ENSG00000005059",4.32488797692131,-0.0881607730555613,0.710919116631495,-0.124009568730249,0.901307698796688,1
"ENSG00000005075",57.5573534845511,-0.0463206225276351,0.226476556147279,-0.204527229288635,0.837941515797127,1
